Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Tech Giants and Artificial Intelligence as a Technological Innovation System,The Digital Innovation Race,,,,10.1007/978-3-030-89443-6_4,Cecilia RikapBengt-Åke Lundvall,2021,https://link.springer.com/chapter/10.1007/978-3-030-89443-6_4,Chapter
Forecasting Election Polls with Spin Systems,SN Computer Science,,,,10.1007/s42979-021-00942-9,Rubén IbarrondoMikel SanzRomán Orús,2021,https://link.springer.com/article/10.1007/s42979-021-00942-9,Article
Understanding Machine Learning,Machine Learning for Cyber Agents,,,,10.1007/978-3-030-91585-8_2,Stanislav AbaimovMaurizio Martellini,2022,https://link.springer.com/chapter/10.1007/978-3-030-91585-8_2,Chapter
Development of Network Information Technology,China Internet Development Report 2019,,,,10.1007/978-981-33-6930-6_2,,2021,https://link.springer.com/chapter/10.1007/978-981-33-6930-6_2,Chapter
AI as a Disruptive Technology,Artificial Intelligence as a Disruptive Technology,,,,10.1007/978-3-030-35975-1_1,Rosario Girasa,2020,https://link.springer.com/chapter/10.1007/978-3-030-35975-1_1,Chapter
The Case for AI /ML in Cybersecurity,The CISO’s Next Frontier,,,,10.1007/978-3-030-75354-2_5,Raj Badhwar,2021,https://link.springer.com/chapter/10.1007/978-3-030-75354-2_5,Chapter
Introduction to Interpretability,Interpretability in Deep Learning,,,,10.1007/978-3-031-20639-9_1,Ayush SomaniAlexander HorschDilip K. Prasad,2023,https://link.springer.com/chapter/10.1007/978-3-031-20639-9_1,Chapter
Health Information Exchange,Health Informatics on FHIR: How HL7's API is Transforming Healthcare,,,,10.1007/978-3-030-91563-6_5,Mark L. Braunstein,2022,https://link.springer.com/chapter/10.1007/978-3-030-91563-6_5,Chapter
"Entertainment in Era of AI, Big Data &amp; IoT",Digital Entertainment,,,,10.1007/978-981-15-9724-4_5,Giri Gandu HallurSandeep PrabhuAvinash Aslekar,2021,https://link.springer.com/chapter/10.1007/978-981-15-9724-4_5,Chapter
Artificial intelligence in the creative industries: a review,Artificial Intelligence Review,,,,10.1007/s10462-021-10039-7,Nantheera AnantrasirichaiDavid Bull,2021,https://link.springer.com/article/10.1007/s10462-021-10039-7,Article
Optimizing a quantum reservoir computer for time series prediction,Scientific Reports,,,,10.1038/s41598-020-71673-9,Aki KutvonenKeisuke FujiiTakahiro Sagawa,2020,https://link.springer.com/article/10.1038/s41598-020-71673-9,Article
Artificial Intelligence,Trustworthy Artificial Intelligence Implementation,,,,10.1007/978-3-031-18275-4_2,Josef Baker-Brunnbauer,2023,https://link.springer.com/chapter/10.1007/978-3-031-18275-4_2,Chapter
"Intelligence Augmentation for Educators, Training Professionals, and Learners",Adaptive Instructional Systems. Design and Evaluation,,,,10.1007/978-3-030-77857-6_15,Nkaepe OlaniyiJessie Chuang,2021,https://link.springer.com/chapter/10.1007/978-3-030-77857-6_15,Conference paper
Cyber Threats and National Security: The Use and Abuse of Artificial Intelligence,Handbook of Security Science,,,,10.1007/978-3-319-51761-2_84-1,Reza Montasari,2021,https://link.springer.com/rwe/10.1007/978-3-319-51761-2_84-1,Living reference work entry
Semantic analysis of blockchain intelligence with proposed agenda for future issues,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-023-01862-y,Rashi SaxenaE. GayathriLalitha Surya Kumari,2023,https://link.springer.com/article/10.1007/s13198-023-01862-y,Article
RETRACTED CHAPTER: A Review of k-NN Algorithm Based on Classical and Quantum Machine Learning,"Distributed Computing and Artificial Intelligence, Special Sessions, 17th International Conference",,,,10.1007/978-3-030-53829-3_20,Yeray MezquitaRicardo S. AlonsoRoberto Casado-VaraJavier PrietoJuan Manuel Corchado,2021,https://link.springer.com/chapter/10.1007/978-3-030-53829-3_20,Conference paper
The Technological Revolution: The Rise of Machines,Making the Global Economy Work for Everyone,,,,10.1007/978-3-030-92084-5_2,Marco Magnani,2022,https://link.springer.com/chapter/10.1007/978-3-030-92084-5_2,Chapter
A Smart system in Manufacturing with Mass Personalization (S-MMP) for blueprint and scenario driven by industrial model transformation,Journal of Intelligent Manufacturing,,,,10.1007/s10845-021-01883-z,Xianyu ZhangXinguo Ming,2022,https://link.springer.com/article/10.1007/s10845-021-01883-z,Article
"Artificial Intelligence, Biotechnology and Medicine: Reality, Myths and Trends",Artificial Intelligence,,,,10.1007/978-3-030-59535-7_31,Vladimir F. KhoroshevskyVladimir F. EfimenkoIrina V. Efimenko,2020,https://link.springer.com/chapter/10.1007/978-3-030-59535-7_31,Conference paper
Regularization-based methods for ordinal quantification,Data Mining and Knowledge Discovery,,,,10.1007/s10618-024-01067-2,Mirko BunseAlejandro MoreoFabrizio SebastianiMartin Senz,2024,https://link.springer.com/article/10.1007/s10618-024-01067-2,Article
Indian government E-learning initiatives in response to COVID-19 crisis: A case study on online learning in Indian higher education system,Education and Information Technologies,,,,10.1007/s10639-021-10585-1,Madanjit SinghSulaimon Oyeniyi AdebayoMunish SainiJaswinder Singh,2021,https://link.springer.com/article/10.1007/s10639-021-10585-1,Article
Limitations,Artificial Intelligence in Medicine,,,,10.1007/978-981-19-1223-8_9,Yuxuan (Diana) YangHadi Akbarzadeh KhorshidiUwe Aickelin,2022,https://link.springer.com/chapter/10.1007/978-981-19-1223-8_9,Chapter
Quantum Incubation Journey: Theory Founded Use Case and Technology Selection,Digitale Welt,,,,10.1007/s42354-021-0338-4,Sebastian SengeTim LeonhardtKinan Halabi,2021,https://link.springer.com/article/10.1007/s42354-021-0338-4,Article
Language Design as Information Renormalization,SN Computer Science,,,,10.1007/s42979-021-01002-y,Ángel J. GallegoRomán Orús,2022,https://link.springer.com/article/10.1007/s42979-021-01002-y,Article
Deep Learning and Cognitive Computing: Pillars and Ladders,Neuromorphic Computing and Beyond,,,,10.1007/978-3-030-37224-8_4,Khaled Salah Mohamed,2020,https://link.springer.com/chapter/10.1007/978-3-030-37224-8_4,Chapter
Radical Technologies,Data and the Built Environment,,,,10.1007/978-3-031-51008-3_6,Ian GordonNeil Thompson,2024,https://link.springer.com/chapter/10.1007/978-3-031-51008-3_6,Chapter
Programming big data analysis: principles and solutions,Journal of Big Data,,,,10.1186/s40537-021-00555-2,Loris BelcastroRiccardo CantiniFabrizio MarozzoAlessio OrsinoDomenico TaliaPaolo Trunfio,2022,https://link.springer.com/article/10.1186/s40537-021-00555-2,Article
Requirement of artificial intelligence technology awareness for thoracic surgeons,The Cardiothoracic Surgeon,,,,10.1186/s43057-021-00053-4,Anshuman DarbariKrishan KumarShubhankar DarbariPrashant L. Patil,2021,https://link.springer.com/article/10.1186/s43057-021-00053-4,Article
To Reveal or to Conceal: Pertinent Sacred Considerations for Transparent Leaders in a Super-Intelligent World,Transparent and Authentic Leadership,,,,10.1007/978-3-030-61996-1_11,Sharon Hathaway Forrest,2021,https://link.springer.com/chapter/10.1007/978-3-030-61996-1_11,Chapter
"The AI gambit: leveraging artificial intelligence to combat climate change—opportunities, challenges, and recommendations",AI & SOCIETY,,,,10.1007/s00146-021-01294-x,Josh CowlsAndreas TsamadosMariarosaria TaddeoLuciano Floridi,2021,https://link.springer.com/article/10.1007/s00146-021-01294-x,Article
Artificial Intelligence Law and Policy,Blue Book on AI and Rule of Law in the World (2022),,,,10.1007/978-981-97-1060-7_5,Cui Yadong,2024,https://link.springer.com/chapter/10.1007/978-981-97-1060-7_5,Chapter
A panoramic view and swot analysis of artificial intelligence for achieving the sustainable development goals by 2030: progress and prospects,Applied Intelligence,,,,10.1007/s10489-021-02264-y,Iván PalomaresEugenio Martínez-CámaraRosana MontesPablo García-MoralManuel ChiachioJuan ChiachioSergio AlonsoFrancisco J. MeleroDaniel MolinaBárbara FernándezCristina MoralRosario MarchenaJavier Pérez de VargasFrancisco Herrera,2021,https://link.springer.com/article/10.1007/s10489-021-02264-y,Article
Get Started with IoT Network and Security,Design and Deploy IoT Network & Security with Microsoft Azure,,,,10.1007/979-8-8688-0908-8_1,Puthiyavan UdayakumarDr. R Anandan,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0908-8_1,Chapter
A systematic review of integrated information theory: a perspective from artificial intelligence and the cognitive sciences,Neural Computing and Applications,,,,10.1007/s00521-023-08328-z,Luz Enith GuerreroLuis Fernando CastilloJeferson Arango-LópezFernando Moreira,2023,https://link.springer.com/article/10.1007/s00521-023-08328-z,Article
Continuous Network Information Technology Development,China Internet Development Report 2018,,,,10.1007/978-981-15-4043-1_2,Chinese Academy of Cyberspace Studies,2020,https://link.springer.com/chapter/10.1007/978-981-15-4043-1_2,Chapter
Recent advances for quantum classifiers,"Science China Physics, Mechanics & Astronomy",,,,10.1007/s11433-021-1793-6,Weikang LiDong-Ling Deng,2021,https://link.springer.com/article/10.1007/s11433-021-1793-6,Article
A comprehensive review of machine learning applications for internet of nano things: challenges and future directions,Artificial Intelligence Review,,,,10.1007/s10462-025-11211-z,Aryan RanaDeepika GautamPankaj KumarKranti KumarAthanasios V. VasilakosAshok Kumar DasVivekananda Bhat K,2025,https://link.springer.com/article/10.1007/s10462-025-11211-z,Article
Artificial Intelligence and Emerging Technologies in Travel,The Evolution of Yield Management in the Airline Industry,,,,10.1007/978-3-030-70424-7_11,Ben Vinod,2021,https://link.springer.com/chapter/10.1007/978-3-030-70424-7_11,Chapter
Policy for AI as a System Technology,Mission AI,,,,10.1007/978-3-031-21448-6_10,Haroon SheikhCorien PrinsErik Schrijvers,2023,https://link.springer.com/chapter/10.1007/978-3-031-21448-6_10,Chapter
Science: An Amazing Success Story,Science and Religion United,,,,10.1007/978-3-031-55094-2_2,Ulrich A. K. Betz,2024,https://link.springer.com/chapter/10.1007/978-3-031-55094-2_2,Chapter
Advanced Models for Stylometric Applications,Machine Learning Methods for Stylometry,,,,10.1007/978-3-030-53360-1_7,Jacques Savoy,2020,https://link.springer.com/chapter/10.1007/978-3-030-53360-1_7,Chapter
Trusting Datification Through Labification,The Palgrave Handbook of the Public Servant,,,,10.1007/978-3-030-29980-4_77,Adam M. Wellstead,2021,https://link.springer.com/rwe/10.1007/978-3-030-29980-4_77,Reference work entry
World Network Information Technology Development,World Internet Development Report 2018,,,,10.1007/978-981-15-4067-7_2,Chinese Academy of Cyberspace Studies,2020,https://link.springer.com/chapter/10.1007/978-981-15-4067-7_2,Chapter
Robo-Justice,Advanced Artificial Intelligence and Robo-Justice,,,,10.1007/978-3-030-98206-5_11,Georgios I. Zekos,2022,https://link.springer.com/chapter/10.1007/978-3-030-98206-5_11,Chapter
"The Artificial Intelligence Application in the Management of Contemporary Organization: Theoretical Assumptions, Current Practices and Research Review",Advances in Information and Communication,,,,10.1007/978-3-030-12388-8_23,Dorota JelonekAgata Mesjasz-LechCezary StępniakTomasz TurekLeszek Ziora,2020,https://link.springer.com/chapter/10.1007/978-3-030-12388-8_23,Conference paper
Era of Intelligent Systems in Healthcare,Intelligent Decision Support Systems—A Journey to Smarter Healthcare,,,,10.1007/978-3-030-14354-1_1,Smaranda BelciugFlorin Gorunescu,2020,https://link.springer.com/chapter/10.1007/978-3-030-14354-1_1,Chapter
Leveraging analytics to produce compelling and profitable film content,Journal of Cultural Economics,,,,10.1007/s10824-019-09372-1,Ronny BehrensNatasha Zhang FoutzMichael FranklinJannis FunkFernanda Gutierrez-NavratilJulian HofmannUlrike Leibfried,2020,https://link.springer.com/article/10.1007/s10824-019-09372-1,Article
Predicting Indian Stock Market Using the Psycho-Linguistic Features of Financial News,Annals of Data Science,,,,10.1007/s40745-020-00272-2,B. Shravan KumarVadlamani RaviRishabh Miglani,2020,https://link.springer.com/article/10.1007/s40745-020-00272-2,Article
Data Processing and AI,Digital Disruption,,,,10.1007/978-3-030-54494-2_6,Bharat Vagadia,2020,https://link.springer.com/chapter/10.1007/978-3-030-54494-2_6,Chapter
Trusting Datification Through Labification,The Palgrave Handbook of the Public Servant,,,,10.1007/978-3-030-03008-7_77-1,Adam M. Wellstead,2020,https://link.springer.com/rwe/10.1007/978-3-030-03008-7_77-1,Living reference work entry
Commercialization Skills: Necessity for High Technology Entrepreneurs in Digital Era,Proceedings of the Future Technologies Conference (FTC) 2018,,,,10.1007/978-3-030-02683-7_71,Saheed A. Gbadegeshin,2019,https://link.springer.com/chapter/10.1007/978-3-030-02683-7_71,Conference paper
Review of State-of-the-Art in Deep Learning Artificial Intelligence,Optical Memory and Neural Networks,,,,10.3103/S1060992X18020066,V. V. ShakirovK. P. SolovyevaW. L. Dunin-Barkowski,2018,https://link.springer.com/article/10.3103/S1060992X18020066,Article
Intelligent video surveillance: a review through deep learning techniques for crowd analysis,Journal of Big Data,,,,10.1186/s40537-019-0212-5,G. SreenuM. A. Saleem Durai,2019,https://link.springer.com/article/10.1186/s40537-019-0212-5,Article
B<span>ench</span>IP: Benchmarking Intelligence Processors,Journal of Computer Science and Technology,,,,10.1007/s11390-018-1805-8,Jin-Hua TaoZi-Dong DuQi GuoHui-Ying LanLei ZhangSheng-Yuan ZhouLing-Jie XuCong LiuHai-Feng LiuShan TangAllen RushWillian ChenShao-Li LiuYun-Ji ChenTian-Shi Chen,2018,https://link.springer.com/article/10.1007/s11390-018-1805-8,Article
The Context of Investing,Integral Investing,,,,10.1007/978-3-030-54016-6_1,Mariana Bozesan,2020,https://link.springer.com/chapter/10.1007/978-3-030-54016-6_1,Chapter
International Initiatives in AI,Artificial Intelligence as a Disruptive Technology,,,,10.1007/978-3-030-35975-1_8,Rosario Girasa,2020,https://link.springer.com/chapter/10.1007/978-3-030-35975-1_8,Chapter
Development of the World’s Network Information Technology,World Internet Development Report 2017,,,,10.1007/978-3-662-57524-6_3,,2019,https://link.springer.com/chapter/10.1007/978-3-662-57524-6_3,Chapter
Proof Verification Technology and Elementary Physics,"Algorithms and Complexity in Mathematics, Epistemology, and Science",,,,10.1007/978-1-4939-9051-1_4,Ernest Davis,2019,https://link.springer.com/chapter/10.1007/978-1-4939-9051-1_4,Conference paper
New Paradigms and Big Disruptive Things,Inventing the Cloud Century,,,,10.1007/978-3-319-61161-7_20,Marcus OppitzPeter Tomsu,2018,https://link.springer.com/chapter/10.1007/978-3-319-61161-7_20,Chapter
Quantum annealing versus classical machine learning applied to a simplified computational biology problem,npj Quantum Information,,,,10.1038/s41534-018-0060-8,Richard Y. LiRosa Di FeliceRemo RohsDaniel A. Lidar,2018,https://link.springer.com/article/10.1038/s41534-018-0060-8,Article
Guest Editorial: Computational Intelligence and Applications,Information Systems Frontiers,,,,10.1007/s10796-017-9794-7,Vijayan SugumaranT. V. GeethaD. ManjulaHema Gopal,2017,https://link.springer.com/article/10.1007/s10796-017-9794-7,Article
Anwendungsfelder der Künstlichen Intelligenz – Best Practices,Künstliche Intelligenz verstehen,,,,10.1007/978-3-658-25561-9_3,Ralf T. KreutzerMarie Sirrenberg,2019,https://link.springer.com/chapter/10.1007/978-3-658-25561-9_3,Chapter
Reverse engineering the mind,Reverse Engineering the Mind,,,,10.1007/978-3-658-16176-7_10,Florian Neukart,2017,https://link.springer.com/chapter/10.1007/978-3-658-16176-7_10,Chapter
Cognitive Computing: Where Big Data Is Driving Us,Handbook of Big Data Technologies,,,,10.1007/978-3-319-49340-4_24,Ana Paula AppelHeloisa CandelloFábio Latuf Gandour,2017,https://link.springer.com/chapter/10.1007/978-3-319-49340-4_24,Chapter
Butler-Services als Dienstleistungen 4.0 zur Entlastung von Konsumenten in ihren Alltagsprozessen,Dienstleistungen 4.0,,,,10.1007/978-3-658-17550-4_3,Rolf WeiberLukas MohrThomas Weiber,2017,https://link.springer.com/chapter/10.1007/978-3-658-17550-4_3,Chapter
"EANM’24 Abstract Book Congress Oct 19-23, 2024",European Journal of Nuclear Medicine and Molecular Imaging,,,,10.1007/s00259-024-06838-z,,2024,https://link.springer.com/article/10.1007/s00259-024-06838-z,Article
Big Data: An Introduction,Big Data,,,,10.1007/978-81-322-2494-5_1,Hrushikesha Mohanty,2015,https://link.springer.com/chapter/10.1007/978-81-322-2494-5_1,Chapter
"Consciousness, Crosstalk, and the Mereological Fallacy",Computational Psychiatry,,,,10.1007/978-3-319-53910-2_1,Rodrick Wallace,2017,https://link.springer.com/chapter/10.1007/978-3-319-53910-2_1,Chapter
Disruptive Innovation: Large Scale Multimedia&#xa0;Data Mining,Multimedia Data Mining and Analytics,,,,10.1007/978-3-319-14998-1_1,Aaron K. BaughmanJia-Yu PanJiang GaoValery A. Petrushin,2015,https://link.springer.com/chapter/10.1007/978-3-319-14998-1_1,Chapter
Big Data: Unleashing information,Journal of Systems Science and Systems Engineering,,,,10.1007/s11518-013-5219-4,James M. Tien,2013,https://link.springer.com/article/10.1007/s11518-013-5219-4,Article
Computational Intelligence: An Introduction,Computational Intelligence: A Compendium,,,,10.1007/978-3-540-78293-3_1,John Fulcher,2008,https://link.springer.com/chapter/10.1007/978-3-540-78293-3_1,Chapter
Noun phrases in interactive query expansion and document ranking,Information Retrieval,,,,10.1007/s10791-006-6390-8,Olga Vechtomova,2006,https://link.springer.com/article/10.1007/s10791-006-6390-8,Article
Introduction: Human and Computational Mind,Computational Mind: A Complex Dynamics Perspective,,,,10.1007/978-3-540-71561-0_1,,2007,https://link.springer.com/chapter/10.1007/978-3-540-71561-0_1,Chapter
Pointless Spaces and Quantum Gravity,Calculus Revisited,,,,10.1007/978-1-4757-4700-3_12,Robert W. Carroll,2002,https://link.springer.com/chapter/10.1007/978-1-4757-4700-3_12,Chapter
Invertebrate Neurohormones and Their Receptors,Regulatory Peptides and Cognate Receptors,,,,10.1007/978-3-540-49421-8_15,Cornelis J. P. GrimmelikhuijzenFrank HauserKathrine Krageskov EriksenMichael Williamson,1999,https://link.springer.com/chapter/10.1007/978-3-540-49421-8_15,Chapter
On convergence to the poisson law for distributions of the sum of random variables connected into a chain,Lithuanian Mathematical Journal,,,,10.1007/BF02335527,P. Gudynas,1995,https://link.springer.com/article/10.1007/BF02335527,Article
News section,AI & SOCIETY,,,,10.1007/BF01891437,Eric Werner,1989,https://link.springer.com/article/10.1007/BF01891437,Article
Examples of higher order conditions,The Enumerative Theory of Conics after Halphen,,,,10.1007/BFb0076520,Eduardo Casas-AlveroSebastian Xambó-Descamps,1986,https://link.springer.com/chapter/10.1007/BFb0076520,Chapter
The Recognition of Primes,Prime Numbers and Computer Methods for Factorization,,,,10.1007/978-1-4757-1089-2_4,Hans Riesel,1985,https://link.springer.com/chapter/10.1007/978-1-4757-1089-2_4,Chapter
"Étude des phenomenes de recombinaison et de génération dans les jonctions de germanium p<sub>o</sub>−n<sub>o</sub>
            ",Annales des Télécommunications,,,,10.1007/BF03021150,Maurice Bernard,1960,https://link.springer.com/article/10.1007/BF03021150,Article
